advert_id,manufacturer_id,model_id,Year,Engine size (litres),Mileage (miles),fuel_type_id,transmission_type_id,Colour,body_type_id,Mpg,wheel_drive_type_id,Doors,Seats,Engine power (bhp),Top speed (mph),Acceleration (0-62 mph) (seconds),CO2 rating (g/km),Tank range (miles),price,status
29888831,1,1,2019,2.0,31900,1,1,Blue,1,42.2,1,4,5,184,146,7.1,127,548,25901,inactive on: 13/09/2023
29888858,2,2,2022,1.0,4365,1,2,White,2,50.4,2,5,5,94,116,10.9,126,443,18990,
29888914,3,3,2017,2.0,32795,2,1,Red,3,54.3,3,5,5,190,127,7.9,136,717,31000,
29889000,4,4,2021,3.0,7490,2,3,White,4,31.7,3,5,2,295,130,6.5,232,621,69908,
29889026,5,5,2019,1.5,37500,1,2,Red,2,45.6,2,5,5,148,134,8.0,120,502,16000,
29889033,6,6,2019,1.6,41781,1,2,Grey,3,34.9,2,5,5,130,113,11.5,156,476,14970,inactive on: 04/09/2023
29889034,7,7,2019,1.2,12131,1,2,White,2,51.4,2,5,5,89,111,11.9,108,418,12495,
29889039,8,8,2019,1.3,29218,1,2,Red,2,47.1,2,5,5,161,140,8.2,126,446,19000,
29889099,9,9,2023,1.0,4999,1,2,Grey,3,47.9,2,5,5,112,112,10.7,133,485,19999,inactive on: 10/09/2023
29889104,5,10,2020,1.0,16645,1,2,Grey,3,44.1,2,5,5,113,116,10.1,134,485,19199,inactive on: 10/09/2023
29889431,4,4,2017,1.999,95490,2,3,Silver,3,43.5,3,5,5,237,121,8.0,171,737,24500,inactive on: 04/09/2023
29889450,1,11,2020,1.499,37290,1,3,Black,3,43.5,2,5,5,138,127,9.6,122,488,19700,
29889721,10,12,2022,1.2,1902,1,1,Grey,3,46.3,2,5,5,128,123,9.9,138,458,19450,
29889777,2,2,2021,1.0,3806,1,2,Grey,2,51.4,2,5,5,109,121,10.3,124,452,18600,
29889833,5,5,2018,1.6,20000,2,1,White,2,72.4,2,5,5,113,123,10.1,105,796,16900,inactive on: 13/09/2023
29890029,11,13,2012,1.968,80000,2,2,White,5,60.1,2,2,4,175,143,8.2,120,833,10993,
29890039,10,14,2015,1.398,97000,1,2,RADIANT RED,2,48.7,2,5,5,99,111,12.9,136,600,5695,inactive on: 04/09/2023
29890041,10,15,2013,2.231,95000,2,3,METALLIC GOLD,2,35.8,3,5,5,181,119,10.1,208,512,4995,inactive on: 10/09/2023
29890065,12,16,2018,3.956,51000,2,3,Extreme Silver,6,35.3,3,5,5,429,167,4.6,210,660,74990,
29890069,13,17,2017,0.999,22000,1,2,Black,2,67.3,1,5,4,70,94,15.9,97,518,7690,
29890087,14,18,2011,1.339,110080,1,2,Black,2,51.4,2,5,5,98,113,11.5,128,475,2750,inactive on: 18/09/2023
