Wheel drive,Doors,Seats,Engine power,Top speed,Acceleration (0-62 mph),CO2 rating,Annual tax
Front Wheel Drive,5,5,99 bhp,121 mph,9.3 seconds,116 g/km,180
Front Wheel Drive,5,5,128 bhp,125 mph,9.1 seconds,126 g/km,180
Front Wheel Drive,5,5,134 bhp,93 mph,7.6 seconds,0 g/km,
Front Wheel Drive,5,5,128 bhp,125 mph,9.1 seconds,126 g/km,180
Front Wheel Drive,5,5,128 bhp,124 mph,9.2 seconds,132 g/km,180
,,,,,,,
Front Wheel Drive,5,5,82 bhp,105 mph,13.5 seconds,114 g/km,180
,,,,,,,
Front Wheel Drive,5,5,128 bhp,117 mph,9.5 seconds,146 g/km,180
,,,,,,,
,,,,,,,
Front Wheel Drive,5,5,128 bhp,123 mph,9.5 seconds,113 g/km,180
Front Wheel Drive,5,5,123 bhp,111 mph,12.7 seconds,119 g/km,165
Front Wheel Drive,5,5,134 bhp,124 mph,9.7 seconds,132 g/km,180
Front Wheel Drive,5,7,177 bhp,134 mph,9.2 seconds,129 g/km,180
Front Wheel Drive,5,5,168 bhp,,,150 g/km,180
,,,,,,,
,,,,,,,
,,,,,,,
Front Wheel Drive,5,5,128 bhp,125 mph,9.1 seconds,126 g/km,180
Front Wheel Drive,5,5,158 bhp,124 mph,8.6 seconds,153 g/km,180
Front Wheel Drive,5,5,128 bhp,123 mph,9.5 seconds,113 g/km,180
Front Wheel Drive,5,5,138 bhp,119 mph,10.1 seconds,157 g/km,180
Front Wheel Drive,5,5,109 bhp,108 mph,11.2 seconds,108 g/km,180
Front Wheel Drive,5,5,109 bhp,108 mph,11.0 seconds,109 g/km,180
Front Wheel Drive,5,5,128 bhp,130 mph,8.8 seconds,113 g/km,180
Front Wheel Drive,5,5,128 bhp,115 mph,10.6 seconds,114 g/km,180
Front Wheel Drive,5,5,129 bhp,117 mph,10.5 seconds,119 g/km,180
Front Wheel Drive,5,5,134 bhp,134 mph,8.8 seconds,122 g/km,180
,,,,,,,
Front Wheel Drive,4,5,148 bhp,140 mph,8.9 seconds,163 g/km,170
,,,,,,,
Front Wheel Drive,5,5,130 bhp,124 mph,9.3 seconds,118 g/km,180
Front Wheel Drive,5,5,113 bhp,114 mph,13.0 seconds,112 g/km,180
Front Wheel Drive,5,5,128 bhp,119 mph,10.2 seconds,113 g/km,180
Front Wheel Drive,5,5,163 bhp,125 mph,10.3 seconds,145 g/km,180
Front Wheel Drive,5,5,158 bhp,123 mph,9.9 seconds,156 g/km,180
Front Wheel Drive,5,5,120 bhp,117 mph,11.2 seconds,104 g/km,180
Four Wheel Drive,5,7,178 bhp,117 mph,8.9 seconds,170 g/km,165
Front Wheel Drive,5,5,113 bhp,182 mph,9.8 seconds,114 g/km,180
Front Wheel Drive,5,5,128 bhp,119 mph,10.2 seconds,113 g/km,180
Front Wheel Drive,5,5,74 bhp,108 mph,12.4 seconds,125 g/km,180
Front Wheel Drive,5,5,114 bhp,114 mph,11.5 seconds,120 g/km,180
Front Wheel Drive,5,5,74 bhp,107 mph,14.2 seconds,108 g/km,180
Front Wheel Drive,5,5,128 bhp,126 mph,9.3 seconds,115 g/km,180
Front Wheel Drive,5,5,119 bhp,119 mph,9.0 seconds,141 g/km,180
Front Wheel Drive,5,5,99 bhp,119 mph,10.2 seconds,99 g/km,180
Front Wheel Drive,5,5,128 bhp,124 mph,9.2 seconds,135 g/km,180
Front Wheel Drive,5,5,138 bhp,122 mph,9.6 seconds,147 g/km,180
Front Wheel Drive,5,5,148 bhp,123 mph,8.5 seconds,126 g/km,180
Front Wheel Drive,5,7,101 bhp,106 mph,13.4 seconds,142 g/km,180
,,,,,,,
Front Wheel Drive,5,5,160 bhp,127 mph,10.3 seconds,159 g/km,180
,,,,,,,
Front Wheel Drive,5,5,138 bhp,122 mph,9.6 seconds,147 g/km,180
Front Wheel Drive,5,5,128 bhp,117 mph,9.5 seconds,114 g/km,180
Four Wheel Drive,5,5,178 bhp,120 mph,8.5 seconds,157 g/km,180
Front Wheel Drive,5,5,139 bhp,115 mph,11.5 seconds,129 g/km,180
Four Wheel Drive,5,5,178 bhp,124 mph,10.0 seconds,160 g/km,180
Front Wheel Drive,5,5,163 bhp,112 mph,8.8 seconds,159 g/km,180
