ID value,Status,Price (£)
29888831,inactive on: 13/09/2023,"25,901"
29888858,still active,"18,990"
29888914,still active,"31,000"
29889000,still active,"69,908"
29889026,still active,"16,000"
29889033,inactive on: 04/09/2023,"14,970"
29889034,still active,"12,495"
29889039,still active,"19,000"
29889099,inactive on: 10/09/2023,"19,999"
29889104,inactive on: 10/09/2023,"19,199"
29889431,inactive on: 04/09/2023,"24,500"
29889450,still active,"19,700"
29889721,still active,"19,450"
29889777,still active,"18,600"
29889833,inactive on: 13/09/2023,"16,900"
29890029,still active,"10,993"
29890039,inactive on: 04/09/2023,"5,695"
29890041,inactive on: 10/09/2023,"4,995"
29890065,still active,"74,990"
29890069,still active,"7,690"
29890087,inactive on: 18/09/2023,"2,750"
29890100,still active,"26,995"
29890103,inactive on: 10/09/2023,"34,995"
29890108,inactive on: 18/09/2023,"47,995"
29890116,still active,"9,895"
29890323,still active,"14,298"
29890373,inactive on: 04/09/2023,"37,790"
29890377,still active,"44,490"
29890399,still active,"10,495"
29890402,still active,"24,995"
29890406,inactive on: 10/09/2023,"19,069"
29890420,inactive on: 18/09/2023,"19,088"
29890422,still active,"13,850"
29890425,still active,"11,450"
29890435,still active,"19,561"
29890456,inactive on: 10/09/2023,"15,220"
29890475,still active,"29,985"
29890524,inactive on: 04/09/2023,"17,992"
29890548,still active,"28,500"
29890555,still active,"26,000"
29890626,still active,"12,248"
29890636,still active,"72,440"
29890639,inactive on: 04/09/2023,"35,995"
29890641,still active,"25,995"
29890648,inactive on: 18/09/2023,"50,995"
29890680,still active,"18,639"
29890691,still active,"17,868"
29890693,still active,"12,555"
29890694,still active,"11,777"
29890720,inactive on: 18/09/2023,"6,995"
29890722,still active,"5,995"
29890883,still active,"5,790"
29890892,still active,"6,795"
29890897,still active,"8,250"
29890901,inactive on: 18/09/2023,"2,295"
29890904,still active,"2,495"
29890905,still active,"5,995"
29890948,still active,"3,595"
29890949,still active,"4,490"
29890956,inactive on: 18/09/2023,"3,190"
29890964,still active,"7,995"
29890967,still active,"8,450"
29890968,inactive on: 18/09/2023,"3,995"
29890982,still active,"5,990"
29890983,still active,"48,000"
29890988,still active,"5,495"
29890995,inactive on: 10/09/2023,"15,995"
29891011,still active,"8,495"
29891020,still active,"9,300"
29891033,still active,"4,295"
29891038,inactive on: 04/09/2023,"12,490"
29891041,still active,"10,681"
29891047,still active,"13,450"
29891057,still active,"17,400"
29891072,still active,"15,999"
29891092,still active,"5,495"
29891093,still active,"4,295"
29891102,inactive on: 04/09/2023,"17,995"
29891108,still active,"7,995"
29891109,still active,"31,995"
29891120,inactive on: 10/09/2023,"6,995"
29891127,still active,"4,995"
29891132,still active,"4,995"
29891134,still active,"5,995"
29891142,still active,"4,495"
29891144,still active,"9,000"
29891145,still active,"8,690"
29891181,still active,"4,995"
29891187,inactive on: 04/09/2023,"5,295"
29891192,still active,"1,295"
29891193,still active,"4,995"
29891194,inactive on: 04/09/2023,"27,695"
29891196,still active,"18,794"
29891211,still active,"10,995"
29891305,still active,"35,995"
29891308,still active,"5,495"
29891361,still active,"4,995"
29891386,still active,"6,295"
29891389,inactive on: 10/09/2023,"6,000"
29891393,still active,"7,695"
29891398,still active,"2,490"
29891401,still active,"2,490"
29891402,still active,"4,990"
29891426,still active,"5,795"
29891433,still active,"11,495"
29891657,inactive on: 04/09/2023,"47,951"
29891734,still active,"19,490"
29891756,still active,"18,690"
29891766,inactive on: 04/09/2023,"9,890"
29891771,inactive on: 10/09/2023,"10,990"
29891834,inactive on: 04/09/2023,"11,995"
29891860,still active,"16,999"
29891920,inactive on: 04/09/2023,"41,850"
29892021,inactive on: 10/09/2023,"34,490"
29892127,inactive on: 18/09/2023,"15,274"
29892196,still active,"31,190"
29892260,still active,"20,990"
29892303,still active,"26,716"
29892320,inactive on: 10/09/2023,"27,499"
29892413,still active,"23,495"
29892607,inactive on: 10/09/2023,"21,799"
29892616,inactive on: 04/09/2023,"41,850"
29892644,still active,"29,950"
29892645,still active,"30,950"
29892646,still active,"23,950"
29892671,still active,"17,895"
29892703,still active,"30,999"
29892821,inactive on: 04/09/2023,"10,499"
29892839,inactive on: 10/09/2023,"18,500"
29892840,inactive on: 18/09/2023,"24,200"
29892880,inactive on: 18/09/2023,"45,999"
29892950,still active,"13,500"
